"contract_id","lane","file","line","control_type","control_id","control_label","handlers","action_class","backend_slots","data_effect","preconditions","postconditions","current_status","priority","target_state"
"NP02-0001","Home Hub","src\qml\views\HomeGrid.qml","528","TextField","omniInput","omniInput","onAccepted","command","handleOmniSearchCommand|getHomeDashboardSummary","Routes omni-search commands into target module/view actions. Reads dashboard aggregates for home hub cards and counters.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0002","Home Hub","src\qml\views\HomeGrid.qml","1470","MouseArea","","(no_label)","onClicked","command","getHomeDashboardSummary","Reads dashboard aggregates for home hub cards and counters.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0003","Home Hub","src\qml\views\HomeGrid.qml","1494","MouseArea","","(no_label)","onClicked","command","getHomeDashboardSummary","Reads dashboard aggregates for home hub cards and counters.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0004","Main Module Host","src\qml\views\MainContent.qml","1503","TitleBarButton","","(no_label)","onClicked","command","getHomeDashboardSummary|recordUndockRequest","Reads dashboard aggregates for home hub cards and counters. Records undock telemetry/state for shell window routing.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0005","Main Module Host","src\qml\views\MainContent.qml","1519","TitleBarButton","","(no_label)","onClicked","command","getHomeDashboardSummary|recordUndockRequest","Reads dashboard aggregates for home hub cards and counters. Records undock telemetry/state for shell window routing.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0006","Main Module Host","src\qml\views\MainContent.qml","1537","TitleBarButton","","(no_label)","onClicked","command","getHomeDashboardSummary|recordUndockRequest","Reads dashboard aggregates for home hub cards and counters. Records undock telemetry/state for shell window routing.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0007","Main Module Host","src\qml\views\MainContent.qml","1553","TitleBarButton","closeButton","closeButton","","state_binding","getHomeDashboardSummary|recordUndockRequest","Reads dashboard aggregates for home hub cards and counters. Records undock telemetry/state for shell window routing.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0008","Main Module Host","src\qml\views\MainContent.qml","2068","PillButton","","""Cancel""","onClicked","command","getHomeDashboardSummary|recordUndockRequest","Reads dashboard aggregates for home hub cards and counters. Records undock telemetry/state for shell window routing.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0009","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2603","ModernTextField","queryInput","""""","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0010","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","2620","ModernTextField","ownerInput","""Assigned User""","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
